Team,Team Code,Age Division,Matches,Wins,Losses,Same-Age Matches,Same-Age Wins,Same-Age Losses,NIT Matches,NIT Wins,NIT Losses,NIT Same-Age Matches,NIT Same-Age Wins,NIT Same-Age Losses
Mintonette Sports m.41,g14MSPRT1OV,g14,7,4,3,7,4,3,5,2,3,5,2,3
MN Select 18-1,g18MNSEL1NO,g18,7,4,3,6,4,2,5,2,3,4,2,2
Pohaku 16-1,g16POHAK1HA,g16,7,4,3,3,0,3,3,0,3,3,0,3
Pohaku 17-1,g17POHAK1HA,g17,7,4,3,1,0,1,3,0,3,1,0,1
TAV 18 Black Haroun,g18TXADV2NT,g18,7,4,3,7,4,3,5,3,2,5,3,2
Vision 16 Gold,g16VSION1NC,g16,7,4,3,0,0,0,0,0,0,0,0,0
Academy 17 Diamond,g17NCVBA1AAU13,g17,6,4,2,2,2,0,0,0,0,0,0,0
Kairos 16 Beta,g16KAIRO2NO,g16,6,4,2,4,2,2,1,1,0,0,0,0
Kairos 17 Alpha,g17KAIRO1NO,g17,6,4,2,4,2,2,6,4,2,4,2,2
Madtown 171 National,g17MADJR1BG,g17,6,4,2,6,4,2,1,1,0,1,1,0
A5 13-Karen,g13AFIVE1AAU45,g13,5,4,1,0,0,0,0,0,0,0,0,0
A5 14 MoBetty,g14AFIVE2SO,g14,5,4,1,1,1,0,0,0,0,0,0,0
Academy 14 Diamond,g14NCVBA1AAU13,g14,5,4,1,5,4,1,0,0,0,0,0,0
TAV 15 Black Sean,g15TXADV2NT,g15,5,4,1,5,4,1,1,1,0,1,1,0
TAV 16 Blue,g16TXADV3NT,g16,5,4,1,5,4,1,1,0,1,1,0,1
COAST 15-2 Colton,g15COAST2SC,g15,4,4,0,4,4,0,0,0,0,0,0,0
COAST 16-1 Nilay,g16COAST1SC,g16,4,4,0,4,4,0,3,3,0,3,3,0
Sports Academy VBC 16 Premier,g16SAVBC1SC,g16,4,4,0,4,4,0,1,1,0,1,1,0
SPVB 18 Elite,g18SPVBC1GL,g18,4,4,0,4,4,0,1,1,0,1,1,0
JJVA 15 Teal,g15JAXJR1FL,g15,15,3,12,11,2,9,3,0,3,2,0,2
EXCEL 17 National Red,g17EXCEL1NT,g17,12,3,8,12,3,8,7,0,7,7,0,7
SPVB 15 Elite,g15SPVBC1GL,g15,12,3,9,11,3,8,5,0,5,4,0,4
Club V 18 Prodigy Kolton,g18CLUBV2IM,g18,8,3,5,8,3,5,4,0,4,4,0,4
H Skyline 18 Black,g18HOSKY2LS,g18,8,3,5,8,3,5,2,1,1,2,1,1
Mintonette Sports m.62,g16MSPRT2OV,g16,8,3,5,8,3,5,5,1,4,5,1,4
WACO VBC 17 UA Black,g17WACOV1LS,g17,8,3,5,8,3,5,3,1,2,3,1,2
Zona VBC 17-Black,g17ZONAV1AZ,g17,8,3,5,0,0,0,5,1,4,0,0,0
CoJrs 16Sherri,g16COJRS1RM,g16,7,3,4,7,3,4,6,2,4,6,2,4
Legacy 13-1 ADIDAS,g13LEGVC1LK,g13,7,3,4,7,3,4,0,0,0,0,0,0
Legacy 14-2 ADIDAS,g14LEGVC2LK,g14,7,3,4,7,3,4,5,1,4,5,1,4
OMNI 15 National,g15OMNIV1JVAJV,g15,7,3,4,3,0,3,1,0,1,1,0,1
Kairos 17 Beta,g17KAIRO2NO,g17,6,3,3,6,3,3,3,0,3,3,0,3
KC Power 17-2,g17POWER2HA,g17,6,3,3,5,3,2,4,2,2,3,2,1
A5 15-Victor,g15AFIVE2AAU45,g15,5,3,2,5,3,2,0,0,0,0,0,0
A5 16-Stephen,g16AFIVE2AAU45,g16,5,3,2,5,3,2,0,0,0,0,0,0
Madtown 131 National,g13MADJR1BG,g13,5,3,2,0,0,0,0,0,0,0,0,0
Madtown 151 National,g15MADJR1BG,g15,5,3,2,0,0,0,1,0,1,0,0,0
WACO VBC 16 UA Black,g16WACOV1LS,g16,5,3,2,5,3,2,0,0,0,0,0,0
COAST 15-1 Luis,g15COAST1SC,g15,4,3,1,4,3,1,3,2,1,3,2,1
Alamo 18 Premier,g18ALAMO1LS,g18,15,2,13,12,2,10,4,0,4,3,0,3
Club V 14 Prodigy Silver,g14CLUBV1IM,g14,8,2,6,8,2,6,8,2,6,8,2,6
Club V 15 Prodigy Steph,g15CLUBV1IM,g15,8,2,6,8,2,6,8,2,6,8,2,6
Peak VA 16 Black,g16PEVBA1NT,g16,8,2,6,8,2,6,6,1,5,6,1,5
Tstreet 15-Chandler,g15TSTRT1SC,g15,8,2,6,8,2,6,8,2,6,8,2,6
Club V 16 Prodigy Reed,g16CLUBV1IM,g16,7,2,5,7,2,5,7,2,5,7,2,5
Elevate Athletics 18 Nike,g18ELATH1IM,g18,7,2,5,7,2,5,5,0,5,5,0,5
ID Crush 18 Engelson,g18IDCRS1IM,g18,7,2,5,7,2,5,6,1,5,6,1,5
Kairos 18 Alpha,g18KAIRO1NO,g18,7,2,5,7,2,5,5,1,4,5,1,4
Legacy 16-2 ADIDAS,g16LEGVC2LK,g16,7,2,5,7,2,5,2,0,2,2,0,2
NorCal 17-1 Black,g17NORCA1JVAJV,g17,7,2,5,4,2,2,0,0,0,0,0,0
OMNI 17 National,g17OMNIV1JVAJV,g17,7,2,5,4,1,3,1,0,1,1,0,1
Tstreet 18-Chris,g18TSTRT1SC,g18,7,2,5,7,2,5,1,1,0,1,1,0
Rockwood Thunder 14 Elite,g14RWDTH1GW,g14,6,2,4,1,1,0,0,0,0,0,0,0
CUVC 14 Open,g14CARUN1AAU13,g14,5,2,3,5,2,3,0,0,0,0,0,0
Premier 15 Crimson W,g15PREMR3NT,g15,5,2,3,5,2,3,1,0,1,1,0,1
Momentous VBC 15-Tara,g15MMTSC1SC,g15,4,2,2,4,2,2,3,2,1,3,2,1
Actyve 17-Navy,g17ACTYV1SC,g17,3,2,1,3,2,1,3,2,1,3,2,1
CITY 17 Gold,g17CITYV1SC,g17,3,2,1,3,2,1,2,1,1,2,1,1
COAST 17-1 Ozhan,g17COAST1SC,g17,3,2,1,3,2,1,3,2,1,3,2,1
FORZA1 NORTH 16 ONE,g16FORZN1SC,g16,3,2,1,3,2,1,2,1,1,2,1,1
Sports Academy VBC 17 Premier,g17SAVBC1SC,g17,3,2,1,3,2,1,0,0,0,0,0,0
Tstreet LV 15-Chad,g15TSTLV1SC,g15,3,2,1,3,2,1,0,0,0,0,0,0
Vegas Aces 16 REN,g16VACES1SC,g16,3,2,1,3,2,1,3,2,1,3,2,1
Vegas Aces 17 REN,g17VACES1SC,g17,3,2,1,3,2,1,3,2,1,3,2,1
Dal Skyline 17 Royal-Ping,g17SKYLN1NT,g17,7,1,6,7,1,6,7,1,6,7,1,6
TAV 17 Black Haroun,g17TXADV2NT,g17,7,1,6,7,1,6,7,1,6,7,1,6
Kairos 14 Alpha,g14KAIRO1NO,g14,6,1,5,4,1,3,4,0,4,2,0,2
Kairos 15 Beta,g15KAIRO2NO,g15,6,1,5,3,1,2,3,0,3,2,0,2
Kairos 16 Alpha,g16KAIRO1NO,g16,6,1,5,3,1,2,6,1,5,3,1,2
A5 17 AG,g17AFIVE2AAU45,g17,5,1,4,2,0,2,0,0,0,0,0,0
Kairos 15 Alpha,g15KAIRO1NO,g15,5,1,4,3,0,3,4,1,3,3,0,3
Actyve 16-Navy,g16ACTYV1SC,g16,4,1,3,4,1,3,3,1,2,3,1,2
FC Elite 16 Elite,g16FCELI12BG,g16,4,1,3,3,1,2,1,1,0,1,1,0
Momentous VBC 16-Tara,g16MMTSC1SC,g16,4,1,3,4,1,3,3,1,2,3,1,2
Tstreet 15-Curtis,g15TSTRT2SC,g15,4,1,3,4,1,3,2,0,2,2,0,2
Momentous VBC 17-Dan,g17MMTSC1SC,g17,3,1,2,3,1,2,3,1,2,3,1,2
Seal Beach 17 - Black,g17sealb1SC,g17,3,1,2,3,1,2,3,1,2,3,1,2
Tstreet 16-Caitie,g16TSTRT2SC,g16,3,1,2,3,1,2,0,0,0,0,0,0
Tstreet LV 16-Kenny,g16TSTLV1SC,g16,3,1,2,3,1,2,0,0,0,0,0,0
VCNebraska 14 Elite,g14VCNEB1GP,g14,3,1,2,3,1,2,0,0,0,0,0,0
VCNebraska 15 Elite,g15VCNEB1GP,g15,3,1,2,3,1,2,2,0,2,2,0,2
Vegas Aces 15 REN,g15VACES1SC,g15,3,1,2,3,1,2,1,0,1,1,0,1
Drive Nation 15-Red,g15DRIVE1NT,g15,7,0,7,7,0,7,7,0,7,7,0,7
Pipeline 15-Adidas,g15PLSCV1SC,g15,4,0,4,4,0,4,3,0,3,3,0,3
COAST 16-2 Davis,g16COAST2SC,g16,3,0,3,3,0,3,0,0,0,0,0,0
COAST 17-2 Bela,g17COAST2SC,g17,3,0,3,2,0,2,3,0,3,2,0,2
Pipeline 16-Adidas,g16PLSCV1SC,g16,3,0,3,3,0,3,0,0,0,0,0,0
Tstreet IE 16-Taylor,g16TSTIE1SC,g16,3,0,3,3,0,3,1,0,1,1,0,1
